105,1,-- Hokkaido --,---- 北海道エリア ----
105,1,Hokkaido,北海道
105,2,-- Tohoku --,---- 東北エリア ----
105,2,Aomori,青森県
105,2,Iwate,岩手県
105,2,Miyagi,宮城県
105,2,Akita,秋田県
105,2,Yamagata,山形県
105,2,Fukushima,福島県
105,3,-- Tokyo/Kanto --,---- 関東エリア ----
105,3,Ibaraki,茨城県
105,3,Tochigi,栃木県
105,3,Gunma,群馬県
105,3,Saitama,埼玉県
105,3,Chiba,千葉県
105,3,Tokyo,東京都
105,3,Kanagawa,神奈川県
105,4,-- Chubu --,---- 中部エリア ----
105,4,Niigata,新潟県
105,4,Toyama,富山県
105,4,Ishikawa,石川県
105,4,Fukui,福井県
105,4,Yamanashi,山梨県
105,4,Nagano,長野県
105,4,Gifu,岐阜県
105,4,Shizuoka,静岡県
105,4,Aichi,愛知県
105,5,-- Osaka/Kansai --,---- 関西エリア ----
105,5,Mie,三重県
105,5,Shiga,滋賀県
105,5,Kyoto,京都府
105,5,Osaka,大阪府
105,5,Hyogo,兵庫県
105,5,Nara,奈良県
105,5,Wakayama,和歌山県
105,6,-- Chugoku --,---- 中国エリア ----
105,6,Tottori,鳥取県
105,6,Shimane,島根県
105,6,Okayama,岡山県
105,6,Hiroshima,広島県
105,6,Yamaguchi,山口県
105,7,-- Shikoku --,---- 四国エリア ----
105,7,Tokushima,徳島県
105,7,Kagawa,香川県
105,7,Ehime,愛媛県
105,7,Kochi,高知県
105,8,-- Kyushu/Okinawa --,---- 九州・沖縄エリア ----
105,8,Fukuoka,福岡県
105,8,Saga,佐賀県
105,8,Nagasaki,長崎県
105,8,Kumamoto,熊本県
105,8,Oita,大分県
105,8,Miyazaki,宮崎県
105,8,Kagoshima,鹿児島県
105,8,Okinawa,沖縄県
