Canoe/Kayak,カヌー/カヤック,
Rafting,ラフティング,
Stand Up Board,SUP,
Fishing,釣り,
Diving,ダイビング,
Treking,トレッキング/登山,
Walking,散策,
Horse Riding,乗馬,
Cycling, サイクリング,
Bungee Jump/Zip Line,バンジージャンプ/ジップライン,
Camp/BBQ,キャンプ/BBQ,
Balloon Riding, 気球体験,
Paraglider,パラグライダー,
Snow Shoe Hiking,スノーシュー,
Ski,スキー,
Snow Board,スノーボード,
Snow Sledding/Snow Slider,雪上ソリ/雪上スライダー
Dog Sledding,犬ぞり,
Snowmobile,スノーモービル,
Ice Fishing,ワカサギ釣り
Cruise,クルーズ,
Town Guide,街ガイド,
Kimono Experience,着物体験,
Sake Brewery/Winery Visit,酒蔵/ワイナリー見学,
Japanese Culture,日本文化体験,
Craft Experience,ものづくり体験,
Cooking Experience,料理教室,
Sushi Cooking,寿司握り体験,
Soba Cooking,そば打ち体験,
Agricultural Experience,農業体験,
Farm Experience,酪農体験,
Fruit Picking,果物狩り,
